chr	start	end	subNumb	polyNumb
chr1	102869	103075	2	N_VARIANTS
chr1	276779	277030	3	N_VARIANTS
chr1	279325	279632	2	1
chr1	646382	646596	2	N_VARIANTS
chr1	649049	649317	4	N_VARIANTS
chr1	761771	762019	2	N_VARIANTS
chr1	830755	831139	2	1
chr1	1006417	1006906	3	2
chr1	1058419	1058627	2	2
chr1	1281728	1282086	2	2
chr1	1325169	1325399	6	2
chr1	1343838	1344193	2	3
chr1	1400804	1401233	6	2
chr1	1407189	1407460	4	3
chr1	1433042	1433433	3	7
chr1	1678809	1679127	2	8
chr1	1724284	1724663	6	6
chr1	1757800	1758010	2	1
chr1	1758950	1759153	3	4
chr1	1764235	1764577	3	4
chr1	1923082	1923340	2	5
chr1	1941208	1941540	3	5
chr1	1947529	1947844	4	6
chr1	2047192	2047590	4	4
chr1	2231663	2231982	4	3
chr1	2248443	2248822	2	3
chr1	2250872	2251226	5	4
chr1	2270027	2270296	2	1
chr1	2393572	2393880	3	4
chr1	2412508	2412771	2	2
chr1	2475076	2475450	4	4
chr1	2494364	2494613	3	4
chr1	2527975	2528235	4	1
chr1	2575960	2576274	4	5
chr1	2586348	2586593	3	1
chr1	3115319	3115634	2	5
chr1	3124301	3124584	6	1
chr1	3480380	3480692	2	5
chr1	3529421	3529712	3	5
chr1	3740108	3740351	3	1
chr1	3900332	3900543	2	2
chr1	3903097	3903433	4	4
chr1	4083818	4084310	3	7
chr1	5933752	5933998	3	2
chr1	6259572	6259869	3	4
chr1	6450983	6451404	2	4
chr1	6579461	6579870	2	3
chr1	6601205	6601423	2	1
chr1	6761355	6761651	4	2
chr1	6960349	6960616	3	2
chr1	7019609	7019876	3	6
chr1	7097956	7098637	6	9
chr1	7149420	7149931	8	6
chr1	7266085	7266453	4	4
chr1	7574350	7574804	2	6
chr1	7621362	7621695	8	6
chr1	7790521	7790809	2	3
chr1	8094785	8095292	2	1
chr1	8098016	8098268	2	1
chr1	8169830	8170517	5	5
chr1	8189962	8190393	2	6
chr1	8202215	8202531	2	2
chr1	8211937	8212369	4	7
chr1	8234342	8234519	2	3
chr1	8239317	8239576	9	5
chr1	8255794	8256057	6	2
chr1	8258917	8259521	6	7
chr1	8259636	8260042	3	4
chr1	8263224	8263524	4	N_VARIANTS
chr1	8312243	8313168	5	16
chr1	8370639	8370934	2	4
chr1	8408130	8408421	3	4
chr1	8871162	8871502	3	4
chr1	9113141	9113423	2	2
chr1	9233285	9233728	2	4
chr1	9239686	9240028	3	3
chr1	9435163	9435592	3	8
chr1	9438443	9439119	4	5
chr1	9447278	9447571	3	4
chr1	9454114	9454393	2	5
chr1	9465541	9465949	4	5
chr1	9501187	9501380	3	2
chr1	9503096	9503722	8	8
chr1	9555401	9555688	3	2
chr1	10065423	10065787	2	8
chr1	10278934	10279232	3	2
chr1	10476865	10477091	2	3
chr1	10489384	10489631	2	1
chr1	10507527	10507746	3	3
chr1	10554303	10554552	2	5
chr1	10556083	10556345	2	3
chr1	10578194	10578448	2	1
chr1	10628731	10629152	2	3
chr1	10677376	10677752	2	5
chr1	10686100	10686379	2	3
chr1	10980150	10980439	3	5
chr1	11047128	11047566	2	3
chr1	11671454	11672065	5	3
chr1	11676361	11676779	4	7
chr1	11777650	11778078	4	6
chr1	11790805	11791248	2	10
chr1	11926496	11926741	3	1
chr1	11928056	11928609	6	3
chr1	11940465	11940869	2	5
chr1	11980127	11980534	2	6
chr1	11990670	11990944	4	3
chr1	11991039	11991350	3	2
chr1	12170220	12170613	2	8
chr1	12188988	12189252	2	5
chr1	12453496	12453845	4	4
chr1	12457752	12458014	2	4
chr1	12477967	12478633	3	8
chr1	12485640	12485933	2	1
chr1	12525323	12525773	3	6
chr1	12527500	12528073	4	8
chr1	12528377	12528853	3	4
chr1	12529381	12529687	3	2
chr1	12597880	12598189	3	5
chr1	12608466	12608822	2	2
chr1	12614396	12614718	2	2
chr1	13297594	13297929	2	N_VARIANTS
chr1	15025600	15025876	2	3
chr1	15308183	15308432	3	3
chr1	15366293	15366615	3	4
chr1	15371177	15371424	2	2
chr1	15421074	15421425	2	4
chr1	15421621	15421900	2	6
chr1	15524924	15525222	2	2
chr1	15584913	15585295	2	4
chr1	15617213	15617501	2	2
chr1	15718402	15718699	2	4
chr1	15736949	15737146	2	1
chr1	15742307	15742609	3	6
chr1	15780660	15781015	2	5
chr1	15834890	15835208	3	5
chr1	15835753	15836184	3	9
chr1	15847444	15847735	2	1
chr1	15885727	15886067	5	4
