chr	start	end	subNumb	polyNumb
chr1	96438	96732	6	N_VARIANTS
chr1	727152	727323	5	3
chr1	779707	779834	3	3
chr1	1764207	1764613	3	4
chr1	2189414	2189579	2	3
chr1	2494322	2494617	3	4
chr1	6259966	6260320	3	4
chr1	6761398	6761647	4	2
chr1	6834506	6834751	3	4
chr1	6958453	6958739	5	3
chr1	7967733	7968010	2	3
chr1	8116715	8116909	2	3
chr1	8174907	8175074	3	3
chr1	8211944	8212332	3	7
chr1	8239075	8239266	3	3
chr1	8252358	8252532	3	4
chr1	8258959	8259458	5	6
chr1	8383202	8383352	2	3
chr1	8497605	8497861	2	2
chr1	8854763	8855066	2	3
chr1	8871028	8871416	3	6
chr1	8889213	8889656	2	5
chr1	9110790	9110977	6	3
chr1	9233395	9233699	2	3
chr1	9250527	9250740	3	2
chr1	9290159	9290427	3	4
chr1	9419738	9419967	2	1
chr1	9438710	9439048	3	3
chr1	9465720	9465918	2	2
chr1	9506960	9507186	2	1
chr1	10476916	10477111	3	3
chr1	10507544	10507741	2	2
chr1	11047369	11047624	2	3
chr1	11676388	11676627	3	4
chr1	11928359	11928612	2	1
chr1	11967175	11967405	3	5
chr1	12525348	12525718	3	5
chr1	12528359	12528644	2	1
chr1	12608588	12608798	2	2
chr1	13297606	13297904	2	N_VARIANTS
chr1	13297619	13297956	2	N_VARIANTS
chr1	15434822	15435059	3	1
chr1	15583455	15583636	6	3
chr1	15835741	15835962	2	3
chr1	15885758	15886090	5	4
chr1	16514095	16514323	4	2
chr1	16532417	16532579	6	N_VARIANTS
chr1	16585166	16585377	2	N_VARIANTS
chr1	16591540	16591735	7	N_VARIANTS
chr1	16591819	16591992	8	N_VARIANTS
chr1	16608261	16608526	6	N_VARIANTS
chr1	16645394	16645744	7	N_VARIANTS
chr1	16889587	16889794	8	6
chr1	17516890	17517200	2	4
chr1	17560505	17560714	3	2
chr1	17581536	17581859	2	2
chr1	17594124	17594368	2	1
chr1	17994048	17994334	2	8
chr1	18900473	18900758	3	6
chr1	18901186	18901487	2	3
chr1	19011099	19011381	3	2
chr1	19029503	19029741	3	1
chr1	19241268	19241619	2	3
chr1	19338241	19338485	4	4
chr1	19425703	19425987	3	N_VARIANTS
chr1	19436787	19437006	3	4
chr1	20153692	20153824	3	1
chr1	20183994	20184128	2	N_VARIANTS
