chr	start_bl6	end_bl6	summit_bl6	intensity	intensity_class	start_own	end_own	summit_own
1	3406266	3406473	3406341	60.3333333333333	1	3406266	3406473	3406341
1	3504709	3505449	3505194	1093.39030142147	7	3504709	3505449	3505194
1	3576625	3576868	3576726	114.466666666667	2	3576625	3576868	3576726
1	3595688	3595887	3595830	49.7333333333333	1	3595688	3595887	3595830
1	4416821	4417166	4416945.5	81.5333333333333	1	4416821	4417166	4416945
1	4504009	4504268	4504061	114.466666666667	2	4504009	4504268	4504061
1	4534323	4534603	4534361	56.8196276186656	1	4534323	4534603	4534361
1	4588522	4588793	4588680.5	129.133333333333	2	4588522	4588793	4588680
1	4607601	4607777	4607721	76.2666666666667	1	4607601	4607777	4607721
1	4644115	4644277	4644236	26.9333333333333	1	4644115	4644277	4644236
1	4644332	4644451	4644373	23.4	1	4644332	4644451	4644373
1	4651772	4652325	4652103	1287.95602137323	9	4651772	4652325	4652103
1	4660754	4661144	4660963.5	347.266666666667	3	4660754	4661144	4660963
1	4661263	4661755	4661524	632.280850811941	5	4661263	4661755	4661524
1	4661766	4662262	4661902.5	215.533333333333	2	4661766	4662262	4661902
1	4662343	4662594	4662553	64.4666666666667	1	4662343	4662594	4662553
1	4750437	4750665	4750569.5	40.2	1	4750437	4750665	4750569
1	4758975	4759416	4759264	711.540559628514	5	4758975	4759416	4759264
1	4774187	4774479	4774381	184.8	2	4774187	4774479	4774381
1	4775757	4775921	4775840	51.0666666666667	1	4775757	4775921	4775840
1	4781750	4781935	4781806	69.8666666666667	1	4781750	4781935	4781806
1	4791630	4792157	4791783.5	517.423870327725	4	4791630	4792157	4791783
1	4792386	4792536	4792471.5	56.8196276186656	1	4792386	4792536	4792471
1	4798093	4798284	4798203	28.4	1	4798093	4798284	4798203
1	4798797	4799019	4798976	72.2	1	4798797	4799019	4798976
1	4800561	4800770	4800730.5	53.3333333333333	1	4800561	4800770	4800730
1	4800855	4801026	4800922.5	89.4666666666667	1	4800855	4801026	4800922
1	4867709	4868013	4867876	117.2	2	4867709	4868013	4867876
1	5062471	5062640	5062585	38.9333333333333	1	5062471	5062640	5062585
1	5062691	5062828	5062743	40.2	1	5062691	5062828	5062743
1	5264810	5265104	5264919	159.466666666667	2	5264810	5265104	5264919
1	5301904	5302044	5301949	54.4	1	5301904	5302044	5301949
1	5302053	5302259	5302184	80	1	5302053	5302259	5302184
1	6204169	6204269	6204213	55.7333333333333	1	6204169	6204269	6204213
1	6205470	6205741	6205662	77.5333333333333	1	6205470	6205741	6205662
1	6277360	6277593	6277475.5	78.8064808711617	1	6277360	6277593	6277475
1	6500307	6500463	6500422	33.5333333333333	1	6500307	6500463	6500422
1	6500998	6501304	6501199	105.066666666667	1	6500998	6501304	6501199
1	7078721	7079050	7078847	154.323311157628	2	7078721	7079050	7078847
1	7079860	7080180	7080032	263.533333333333	3	7079860	7080180	7080032
1	7086845	7087091	7086943	86.8746648306968	1	7086845	7087091	7086943
1	7094348	7094697	7094513	186.066666666667	2	7094348	7094697	7094513
1	7095104	7095284	7095210	55.7333333333333	1	7095104	7095284	7095210
1	7111901	7112063	7112019.5	32.1333333333333	1	7111901	7112063	7112019
1	7387102	7387175	7387134	93.1333333333334	1	7387102	7387175	7387134
1	8407160	8407432	8407290	327.6	3	8407160	8407432	8407290
1	8631806	8632055	8631871	85.4666666666667	1	8631806	8632055	8631871
1	8812231	8812521	8812352	102.450951742505	1	8812231	8812521	8812352
1	8849353	8849459	8849408	24.5333333333333	1	8849353	8849459	8849408
1	8861545	8861798	8861701	97	1	8861545	8861798	8861701
1	8862904	8863244	8863099	279.4	3	8862904	8863244	8863099
1	8866768	8866938	8866826	166.066666666667	2	8866768	8866938	8866826
1	9092639	9092910	9092820	69.8666666666667	1	9092639	9092910	9092820
1	9535320	9535486	9535443	53.3333333333333	1	9535320	9535486	9535443
1	9540597	9540892	9540743	154.323311157628	2	9540597	9540892	9540743
1	9551548	9551846	9551748	70.7333333333333	1	9551548	9551846	9551748
1	9554080	9554466	9554334	270.339528291339	3	9554080	9554466	9554334
1	9555280	9555574	9555405	352.854014749805	3	9555280	9555574	9555405
1	9572523	9572845	9572580	139.533333333333	2	9572523	9572845	9572580
1	9574689	9575122	9574954	673.612127688823	5	9574689	9575122	9574954
1	9611544	9612028	9611729	645.2	5	9611544	9612028	9611729
1	9620470	9620575	9620528	23.4	1	9620470	9620575	9620528
1	9621591	9622018	9621809	812.003474163998	5	9621591	9622018	9621809
1	9628742	9628964	9628856	78.8064808711617	1	9628742	9628964	9628856
1	9629166	9629284	9629244	24.5333333333333	1	9629166	9629284	9629244
1	9648581	9648791	9648717	196.533333333333	2	9648581	9648791	9648717
1	9736117	9736393	9736330	127.533333333333	2	9736117	9736393	9736330
1	9736770	9736941	9736848	45.8666666666667	1	9736770	9736941	9736848
1	9737600	9737784	9737728	89.4666666666667	1	9737600	9737784	9737728
1	9737813	9737887	9737849	29.4666666666667	1	9737813	9737887	9737849
1	9762901	9763200	9763022	275.761680616091	3	9762901	9763200	9763022
1	9777558	9777784	9777744	53.3333333333333	1	9777558	9777784	9777744
1	9788978	9789103	9789018	34.8666666666667	1	9788978	9789103	9789018
1	9812963	9813205	9813090	154.323311157628	2	9812963	9813205	9813090
1	9838642	9838987	9838802	169.8	2	9838642	9838987	9838802
1	9840373	9840531	9840485	38.9333333333333	1	9840373	9840531	9840485
1	9897123	9897460	9897276	320.164325022937	3	9897123	9897460	9897276
1	9934226	9934401	9934267	30.8666666666667	1	9934226	9934401	9934267
1	9937621	9938067	9937848	419.466666666667	3	9937621	9938067	9937848
1	9947662	9947780	9947739	26.9333333333333	1	9947662	9947780	9947739
1	9978564	9978875	9978700	147.6	2	9978564	9978875	9978700
1	9979054	9979342	9979182	164.8	2	9979054	9979342	9979182
1	10088930	10089094	10089055	53.3333333333333	1	10088930	10089094	10089055
1	10133002	10133319	10133173	202.133333333333	2	10133002	10133319	10133173
1	10202268	10202598	10202481	174	2	10202268	10202598	10202481
1	10310328	10310582	10310478	171.266666666667	2	10310328	10310582	10310478
1	10584751	10584980	10584852	109	1	10584751	10584980	10584852
1	10594271	10594651	10594426	91.9333333333333	1	10594271	10594651	10594426
