chr	start_bl6	end_bl6	summit_bl6	intensity	intensity_class	start_own	end_own	summit_own
1	3406273	3406395	3406351	30.4	1	3406273	3406395	3406351
1	3413101	3413645	3413462	287.8	3	3413101	3413645	3413462
1	3467906	3468108	3467981	36	1	3467906	3468108	3467981
1	3504718	3505347	3505204	704.383487262939	5	3504718	3505347	3505204
1	3576049	3576231	3576174	49.4	1	3576049	3576231	3576174
1	3576497	3576893	3576747.5	421.266666666667	3	3576497	3576893	3576747
1	3595740	3596103	3595902.5	126.266666666667	2	3595740	3596103	3595902
1	3785803	3785951	3785842.5	30.4	1	3785803	3785951	3785842
1	4322632	4322828	4322791	54.4666666666667	1	4322632	4322828	4322791
1	4651808	4652218	4652061	429.661244825521	3	4651808	4652218	4652061
1	4661343	4662217	4661801	696.471699620919	5	4661343	4662217	4661801
1	4662349	4662622	4662527	30.4	1	4662349	4662622	4662527
1	4750472	4750649	4750606.5	37.6	1	4750472	4750649	4750606
1	4758964	4759420	4759306	221.330558535774	2	4758964	4759420	4759306
1	4760044	4760220	4760123	72	1	4760044	4760220	4760123
1	4774181	4774385	4774283.5	52.8	1	4774181	4774385	4774283
1	4781627	4782001	4781799	459.20077410282	4	4781627	4782001	4781799
1	4791650	4792006	4791778	565.273260711173	4	4791650	4792006	4791778
1	4798796	4798926	4798835.5	33.2666666666667	1	4798796	4798926	4798835
1	4813848	4814002	4813914	37.6	1	4813848	4814002	4813914
1	5124177	5124494	5124308	197.333333333333	2	5124177	5124494	5124308
1	5302005	5302254	5302162	58.1333333333333	1	5302005	5302254	5302162
1	5316390	5316730	5316546	369.866666666667	3	5316390	5316730	5316546
1	6205435	6205699	6205525	118.733333333333	2	6205435	6205699	6205525
1	6277351	6277683	6277538	151.466666666667	2	6277351	6277683	6277538
1	7000343	7000488	7000448.5	31.8	1	7000343	7000488	7000448
1	7078757	7078974	7078913	109.266666666667	1	7078757	7078974	7078913
1	7079896	7080199	7080026	536.266666666667	4	7079896	7080199	7080026
1	7099561	7099849	7099704	199.388473706237	2	7099561	7099849	7099704
1	7111185	7111437	7111357	269.896258749115	3	7111185	7111437	7111357
1	7196768	7196899	7196859.5	27.9333333333333	1	7196768	7196899	7196859
1	7387106	7387175	7387135	68.5333333333333	1	7387106	7387175	7387135
1	8407159	8407408	8407230	79.1333333333333	1	8407159	8407408	8407230
1	8631746	8631993	8631898	122.866666666667	2	8631746	8631993	8631898
1	8812229	8812459	8812401	54.4666666666667	1	8812229	8812459	8812401
1	8861588	8861800	8861684	73.8	1	8861588	8861800	8861684
1	8862862	8863271	8863106	715.64024876428	5	8862862	8863271	8863106
1	8866771	8866933	8866827	172.6	2	8866771	8866933	8866827
1	8922431	8922713	8922541	122.866666666667	2	8922431	8922713	8922541
1	9535181	9535509	9535359	306.32493705812	3	9535181	9535509	9535359
1	9537988	9538133	9538040	70.1333333333333	1	9537988	9538133	9538040
1	9538275	9538503	9538382	131.866666666667	2	9538275	9538503	9538382
1	9550071	9550272	9550160	84.6	1	9550071	9550272	9550160
1	9554090	9554496	9554223	306.32493705812	3	9554090	9554496	9554223
1	9555302	9555497	9555380	77.3148496517	1	9555302	9555497	9555380
1	9574706	9575070	9574841	343.322727448419	3	9574706	9575070	9574841
1	9611664	9612036	9611844	1138.16679801776	7	9611664	9612036	9611844
1	9621604	9621932	9621749	685.910862650172	5	9621604	9621932	9621749
1	9628713	9628956	9628871	253.315595859602	3	9628713	9628956	9628871
1	9635639	9635921	9635801	143.866666666667	2	9635639	9635921	9635801
1	9721532	9721756	9721594	86.4666666666667	1	9721532	9721756	9721594
1	9736198	9736464	9736284	293.588815602534	3	9736198	9736464	9736284
1	9738620	9738741	9738654	25.8	1	9738620	9738741	9738654
1	9803072	9803311	9803240	51.1145989336111	1	9803072	9803311	9803240
1	9813080	9813274	9813201	77.3148496517	1	9813080	9813274	9813201
1	9897144	9897411	9897371	88.4	1	9897144	9897411	9897371
1	9937650	9938053	9937823	929.14877345172	6	9937650	9938053	9937823
1	9959129	9959372	9959262	205.266666666667	2	9959129	9959372	9959262
1	9975709	9975983	9975848	115	2	9975709	9975983	9975848
1	9979050	9979220	9979094	33.2666666666667	1	9979050	9979220	9979094
1	10088915	10089175	10089042	60	1	10088915	10089175	10089042
1	10148514	10148762	10148657	121.06974092577	2	10148514	10148762	10148657
1	10310358	10310585	10310444	27.9333333333333	1	10310358	10310585	10310444
1	10594248	10594489	10594410	86.4666666666667	1	10594248	10594489	10594410
1	10994859	10995033	10994922	64.9670527116064	1	10994859	10995033	10994922
1	13105673	13105818	13105768	39	1	13105673	13105818	13105768
1	13105824	13105950	13105864	36	1	13105824	13105950	13105864
1	13106385	13106659	13106542	61.5333333333333	1	13106385	13106659	13106542
1	13161183	13161505	13161329	70.1333333333333	1	13161183	13161505	13161329
1	13178587	13178822	13178682	136	2	13178587	13178822	13178682
1	13193847	13194186	13194016	139.666666666667	2	13193847	13194186	13194016
1	13226146	13226500	13226345	262.733178526126	3	13226146	13226500	13226345
1	13231445	13231753	13231630	375.733333333333	3	13231445	13231753	13231630
1	13291693	13291911	13291794	136	2	13291693	13291911	13291794
1	13295113	13295318	13295227	113.2	2	13295113	13295318	13295227
1	13302622	13302851	13302738	174.4	2	13302622	13302851	13302738
1	13313383	13313656	13313522	225.266666666667	2	13313383	13313656	13313522
1	13333102	13333413	13333256	241.933333333333	2	13333102	13333413	13333256
1	13427815	13428165	13427985	383.666666666667	3	13427815	13428165	13427985
1	13457194	13457668	13457473	792.99225263891	5	13457194	13457668	13457473
1	13477888	13478220	13478034	316.466666666667	3	13477888	13478220	13478034
1	13566642	13566943	13566903	166.733333333333	2	13566642	13566943	13566903
1	13636570	13636837	13636708	164.739062295815	2	13636570	13636837	13636708
1	13637112	13637231	13637164	27.9333333333333	1	13637112	13637231	13637164
1	13646381	13646570	13646421	44.1333333333333	1	13646381	13646570	13646421
1	13649117	13649391	13649239	149.533333333333	2	13649117	13649391	13649239
1	13689738	13689989	13689816	397.266666666667	3	13689738	13689989	13689816
1	13718550	13718742	13718594	31.8	1	13718550	13718742	13718594
1	14723212	14723520	14723406	98.0666666666667	1	14723212	14723520	14723406
1	15203648	15203812	15203757	73.8	1	15203648	15203812	15203757
1	15598387	15598725	15598537	187.613594260221	2	15598387	15598725	15598537
1	15605697	15605972	15605895	82.7333333333333	1	15605697	15605972	15605895
1	15804151	15804384	15804333	26.9333333333333	1	15804151	15804384	15804333
1	15823655	15823882	15823704	51.1145989336111	1	15823655	15823882	15823704
1	15867159	15867474	15867326	187.613594260221	2	15867159	15867474	15867326
1	15979955	15980116	15980043	64.9670527116064	1	15979955	15980116	15980043
1	15986875	15987156	15987062	155.4	2	15986875	15987156	15987062
1	15987212	15987523	15987376	301.733333333333	3	15987212	15987523	15987376
